Repositorio;Anos;nº PullRequests;nº Releases;Último Update (dd);Linguagem Mais Comum;Issues Fechadas ( % );Estrelas
ansible/ansible;12.01;37723;65;0;Python;98.34;60571
reduxjs/redux;8.78;1660;78;0;TypeScript;98.13;60329
microsoft/playwright;4.32;12050;121;0;TypeScript;94.28;60007
atom/atom;12.14;3937;538;0;JavaScript;94.38;59942
socketio/socket.io;14.0;425;61;0;TypeScript;97.05;59903
grafana/grafana;10.25;40125;413;0;TypeScript;89.37;59632
FuelLabs/sway;3.13;2694;127;0;Rust;75.69;59452
adam-p/markdown-here;11.83;20;11;0;JavaScript;50.49;59405
Anduin2017/HowToCook;4.03;483;1;0;Shell;43.36;59313
hoppscotch/hoppscotch;4.55;1364;37;0;TypeScript;78.8;59243
strapi/strapi;8.44;7663;329;0;TypeScript;94.19;59227
xingshaocheng/architect-awesome;5.93;49;0;0;;31.43;59081
lydiahallie/javascript-questions;4.75;324;0;0;;97.83;58971
kelseyhightower/nocode;6.09;1;1;0;Dockerfile;14.14;58969
angular/angular.js;14.18;789;0;0;JavaScript;95.67;58962
2dust/v2rayN;4.61;126;168;0;C#;99.53;58959
jquery/jquery;14.94;694;9;0;JavaScript;96.87;58765
python/cpython;7.08;40608;0;0;Python;89.62;58743
h5bp/Front-end-Developer-Interview-Questions;12.08;471;0;0;Nunjucks;79.31;58684
lodash/lodash;11.93;577;2;0;JavaScript;98.96;58599
syncthing/syncthing;10.29;2485;363;0;Go;93.84;58567
apache/echarts;10.94;1268;114;0;TypeScript;87.65;58472
junegunn/fzf;10.38;441;36;0;Go;88.52;58395
shadowsocks/shadowsocks-windows;11.16;278;55;0;C#;94.37;57827
scikit-learn/scikit-learn;13.57;11777;39;0;Python;84.81;57611
awesomedata/awesome-public-datasets;9.31;188;1;0;;41.59;57938
apache/superset;8.64;12052;187;0;TypeScript;94.11;57373
openai/whisper;1.48;95;10;0;Python;0.0;57317
tesseract-ocr/tesseract;9.58;1342;28;0;C++;84.8;56987
ventoy/Ventoy;4.0;261;95;0;C;70.2;56865
3b1b/manim;8.97;565;10;0;Python;64.86;56721
chrislgarry/Apollo-11;9.94;324;0;0;Assembly;83.82;56181
TheAlgorithms/Java;7.65;1186;0;0;Java;99.08;56130
swisskyrepo/PayloadsAllTheThings;7.39;508;2;0;Python;0.0;55854
h5bp/html5-boilerplate;14.13;744;33;0;JavaScript;99.47;55832
sdmg15/Best-websites-a-programmer-should-visit;7.01;399;0;0;;60.71;55717
ByteByteGoHq/system-design-101;0.47;21;0;0;;27.5;55505
bradtraversy/design-resources-for-developers;3.84;884;0;0;;100.0;55474
sindresorhus/awesome-nodejs;9.67;405;0;0;;99.01;55198
gatsbyjs/gatsby;8.81;18066;134;0;JavaScript;98.85;54973
d2l-ai/d2l-zh;6.55;1020;16;0;Python;0.0;54821
spring-projects/spring-framework;13.26;823;282;0;Java;98.93;54690
rails/rails;15.92;22967;114;0;Ruby;97.14;54651
openai/openai-cookbook;2.0;461;0;0;MDX;92.26;54566
obsproject/obs-studio;10.44;4434;196;0;C;87.63;54552
ocornut/imgui;9.64;336;94;0;C++;85.0;54548
fffaraz/awesome-cpp;9.65;671;0;0;;40.03;54370
xtekky/gpt4free;0.95;453;81;0;Python;91.43;54291
Eugeny/tabby;7.21;1443;183;0;TypeScript;63.53;54187
ElemeFE/element;7.52;3229;145;0;Vue;86.24;53897
azl397985856/leetcode;5.95;256;40;0;JavaScript;96.43;53424
prakhar1989/awesome-courses;9.32;194;0;0;;51.32;52944
scutan90/DeepLearning-500-questions;5.7;302;0;0;JavaScript;43.01;52762
caddyserver/caddy;9.16;1806;112;0;Go;97.04;52739
danielmiessler/SecLists;12.06;559;23;0;PHP;91.7;52658
binary-husky/gpt_academic;0.97;142;27;0;Python;84.91;52620
ggerganov/llama.cpp;1.0;1972;1000;0;C++;55.96;52543
binhnguyennus/awesome-scalability;6.2;32;0;0;;0.0;52265
prometheus/prometheus;11.3;5866;288;0;Go;85.85;52099
facebook/docusaurus;6.72;4965;137;0;TypeScript;91.01;51900
alacritty/alacritty;8.06;1743;91;0;Rust;94.53;51864
remix-run/react-router;9.82;2061;269;0;TypeScript;99.32;51709
necolas/normalize.css;12.86;56;0;0;CSS;91.11;51643
localstack/localstack;7.37;4570;73;0;Python;94.3;51572
shadcn-ui/ui;1.18;296;16;0;TypeScript;65.23;51320
ageitgey/face_recognition;7.02;94;2;0;Python;44.44;51291
psf/requests;13.07;1532;8;0;Python;94.82;51137
nuxt/nuxt;7.37;4431;212;0;TypeScript;93.3;50966
Semantic-Org/Semantic-UI;10.92;356;154;0;JavaScript;84.47;50944
FuelLabs/fuel-core;3.53;869;79;0;Rust;77.76;50936
facebookresearch/llama;1.07;47;0;0;Python;66.51;50809
Solido/awesome-flutter;6.84;420;0;0;Dart;0.0;50586
scrapy/scrapy;14.05;2096;37;0;Python;85.27;50372
ionic-team/ionic-framework;10.56;5472;850;0;TypeScript;98.31;50257
ryanoasis/nerd-fonts;9.27;419;34;0;CSS;95.02;50244
CorentinJ/Real-Time-Voice-Cloning;4.79;48;0;0;Python;83.44;50241
sherlock-project/sherlock;5.21;532;0;0;Python;91.86;50149
Alvin9999/new-pac;7.97;0;0;0;;75.03;50021
google/material-design-icons;9.42;44;16;0;;78.72;49547
gpt-engineer-org/gpt-engineer;0.86;280;17;0;Python;93.94;49469
google/guava;9.78;491;42;0;Java;81.94;49190
git/git;15.64;3;0;0;C;0.0;49065
soimort/you-get;11.56;572;118;0;Python;0.0;49042
PlexPt/awesome-chatgpt-prompts-zh;1.24;30;0;0;;58.7;48995
nektos/act;5.18;867;68;0;Go;82.45;48783
deepfakes/faceswap;6.22;354;4;0;Python;98.11;48736
wasabeef/awesome-android-ui;9.21;90;0;0;;87.62;48707
juliangarnier/anime;7.99;72;15;0;JavaScript;71.67;48399
imartinez/privateGPT;0.85;139;6;0;Python;87.13;48288
jekyll/jekyll;15.39;3123;109;0;Ruby;97.81;48022
jgthms/bulma;8.13;611;17;0;CSS;91.35;47999
prettier/prettier;7.28;7908;113;0;JavaScript;83.23;47903
tldr-pages/tldr;10.26;9995;4;0;Markdown;88.19;47755
moment/moment;13.03;714;0;0;JavaScript;95.04;47751
rust-lang/rustlings;8.49;793;39;0;Rust;76.5;47728
ReactiveX/RxJava;11.17;3180;233;0;Java;99.62;47562
AppFlowy-IO/AppFlowy;2.73;2229;62;0;Dart;70.21;47188
JetBrains/kotlin;12.07;2054;220;0;Kotlin;0.0;47147
NARKOZ/hacker-scripts;8.3;63;0;0;JavaScript;48.75;47124
traefik/traefik;8.49;3995;406;0;Go;88.85;47114
louislam/uptime-kuma;2.68;1031;102;0;JavaScript;81.43;47094
commaai/openpilot;7.29;9137;54;0;Python;91.83;46881
DefinitelyTyped/DefinitelyTyped;11.43;48957;1;0;TypeScript;93.31;46733
NationalSecurityAgency/ghidra;5.03;408;33;0;Java;70.35;46641
Textualize/rich;4.33;738;161;0;Python;86.04;46637
pi-hole/pi-hole;9.76;1794;102;0;Shell;98.64;46304
chinese-poetry/chinese-poetry;7.52;134;1;0;JavaScript;45.55;46272
lencx/ChatGPT;1.25;119;34;0;Rust;35.99;46144
serverless/serverless;8.89;4506;373;0;JavaScript;82.37;45924
