Repositorio;Anos;nº PullRequests;nº Releases;Último Update (dd);Linguagem Mais Comum;Issues Fechadas ( % );Estrelas
directus/directus;11.25;6724;292;0;TypeScript;94.09;24973
emscripten-core/emscripten;13.08;10327;0;0;C++;81.72;24956
akveo/ngx-admin;7.79;343;19;0;TypeScript;76.23;24949
StevenBlack/hosts;11.91;457;628;0;Python;95.99;24940
zadam/trilium;6.8;248;294;0;JavaScript;70.82;24900
littlecodersh/ItChat;8.14;29;13;0;Python;69.99;24888
SDWebImage/SDWebImage;14.47;915;143;0;Objective-C;97.02;24848
apache/incubator-seata;5.2;2049;39;0;Java;80.28;24824
airbnb/lottie-ios;7.42;685;65;0;Swift;99.03;24807
freqtrade/freqtrade;6.81;4839;81;0;Python;99.15;24802
pola-rs/polars;3.82;7425;132;0;Rust;79.67;24794
nylas/nylas-mail;9.4;139;53;0;JavaScript;71.36;24789
astral-sh/ruff;1.58;5689;294;0;Rust;82.39;24782
kataras/iris;8.11;389;21;0;Go;89.74;24753
qianguyihao/Web;7.18;0;0;0;;77.6;24747
surrealdb/surrealdb;2.25;882;28;0;Rust;62.38;24740
signalapp/Signal-Android;12.24;238;0;0;Java;97.1;24729
google/comprehensive-rust;1.21;1405;0;0;Rust;59.75;24722
llvm/llvm-project;7.26;11338;102;0;;69.88;24710
getredash/redash;10.37;3065;98;0;Python;77.65;24688
nothings/stb;9.79;280;0;0;C;83.5;24669
haizlin/fe-interview;4.9;8;2;0;JavaScript;0.44;24648
deezer/spleeter;4.45;49;2;0;Python;73.62;24624
discordjs/discord.js;8.58;4331;215;0;TypeScript;97.99;24623
scwang90/SmartRefreshLayout;6.77;12;12;0;Java;79.28;24617
Vision-CAIR/MiniGPT-4;0.9;19;0;0;Python;27.67;24612
rollup/rollup;8.82;1850;454;0;JavaScript;84.41;24602
dotnet-architecture/eShopOnContainers;7.43;538;11;0;C#;96.33;24590
greenrobot/EventBus;11.65;31;7;0;Java;82.76;24563
nicolargo/glances;12.27;642;34;0;Python;87.0;24562
gchq/CyberChef;7.28;414;431;0;JavaScript;62.73;24559
chatchat-space/Langchain-Chatchat;0.94;407;29;0;Python;96.21;24544
pypa/pipenv;7.14;1493;100;0;Python;94.35;24487
react-native-elements/react-native-elements;7.5;1209;85;0;MDX;95.74;24474
taichi-dev/taichi;7.29;5130;114;0;C++;71.69;24471
qbittorrent/qBittorrent;12.1;3307;0;0;C++;82.06;24448
vercel/turbo;2.42;4362;316;0;Rust;90.48;24433
nsqio/nsq;11.83;672;31;0;Go;92.25;24432
python-telegram-bot/python-telegram-bot;8.68;1313;110;0;Python;99.61;24408
google-research/tuning_playbook;1.14;7;0;0;;33.33;24381
imDazui/Tvlist-awesome-m3u-m3u8;7.06;1;0;0;;74.6;24344
feathericons/feather;9.79;110;52;0;JavaScript;38.92;24342
openfaas/faas;7.22;678;7;0;Go;96.43;24335
kuchin/awesome-cto;7.23;12;0;0;;87.5;24295
derailed/k9s;5.12;569;223;0;Go;76.22;24264
fish-shell/fish-shell;11.84;1806;43;0;Rust;93.81;24234
vuejs/devtools;9.45;283;87;0;TypeScript;71.46;24227
s0md3v/roop;0.78;82;6;0;Python;0.0;24222
datasciencemasters/go;10.58;48;0;0;;90.2;24179
vercel/pkg;7.59;176;41;0;JavaScript;100.0;24153
Asabeneh/30-Days-Of-React;3.44;10;0;0;JavaScript;24.64;24150
matteocrippa/awesome-swift;9.67;1425;0;0;Ruby;99.25;24141
ApolloAuto/apollo;6.68;9714;12;0;C++;83.62;24137
LC044/WeChatMsg;1.16;60;19;0;Python;82.18;24129
tokio-rs/tokio;7.5;3123;114;0;Rust;87.67;24100
ReactiveX/RxSwift;8.93;780;72;0;Swift;97.49;24093
localForage/localForage;10.36;268;26;0;JavaScript;70.25;24072
telegramdesktop/tdesktop;9.86;1428;682;0;C++;94.21;24065
angular/components;8.18;11562;446;0;TypeScript;87.34;24025
viatsko/awesome-vscode;8.09;243;0;0;JavaScript;53.06;24024
mbadolato/iTerm2-Color-Schemes;12.95;294;0;0;Shell;79.61;24022
eslint/eslint;10.7;5911;315;0;JavaScript;99.21;24013
rxhanson/Rectangle;4.72;221;80;0;Swift;81.21;24008
microsoft/cascadia-code;4.67;71;17;0;Python;80.03;23989
CymChad/BaseRecyclerViewAdapterHelper;7.92;191;209;0;Kotlin;89.6;23983
mozilla/DeepSpeech;7.77;1338;105;0;C++;94.48;23977
matterport/Mask_RCNN;6.39;65;3;0;Python;31.06;23976
iview/iview;7.62;526;85;0;Vue;80.06;23976
mdbootstrap/mdb-ui-kit;9.56;193;34;0;SCSS;99.07;23967
yeasy/docker_practice;9.52;260;15;0;Go;97.63;23967
rome/tools;4.05;2821;117;0;Rust;94.02;23938
johnpapa/angular-styleguide;9.62;331;0;0;;85.38;23916
rwaldron/idiomatic.js;12.8;114;0;0;;58.54;23909
withfig/autocomplete;3.44;1430;1000;0;TypeScript;72.51;23904
sirupsen/logrus;10.4;404;19;0;Go;99.27;23872
hammerjs/hammer.js;12.03;114;0;0;JavaScript;73.01;23870
openssl/openssl;11.15;128;24;0;C;79.47;23860
ossrs/srs;8.87;407;60;0;C++;87.67;23854
zbezj/HEU_KMS_Activator;4.72;0;33;0;;14.06;23821
Netflix/Hystrix;11.31;677;79;0;Java;66.15;23819
OpenZeppelin/openzeppelin-contracts;7.61;2066;88;0;JavaScript;90.31;23812
Wox-launcher/Wox;10.22;296;39;0;Go;95.51;23808
neoclide/coc.nvim;5.86;760;82;0;TypeScript;99.12;23808
VundleVim/Vundle.vim;13.4;89;0;0;Vim Script;76.99;23778
inconshreveable/ngrok;10.98;34;0;0;Go;72.71;23776
tailwindlabs/headlessui;3.48;458;96;0;TypeScript;97.48;23758
TanStack/table;7.39;799;228;0;TypeScript;92.93;23740
marmelab/react-admin;7.66;4434;332;0;TypeScript;98.0;23740
tmrts/go-patterns;8.24;10;0;0;Go;43.33;23731
hwdsl2/setup-ipsec-vpn;8.17;43;0;0;Shell;99.93;23729
firecracker-microvm/firecracker;6.39;2505;69;0;Rust;93.79;23716
zloirock/core-js;10.65;251;238;0;JavaScript;96.54;23698
mantinedev/mantine;3.17;1143;214;0;TypeScript;98.51;23674
vapor/vapor;8.14;1178;528;0;Swift;94.97;23659
envoyproxy/envoy;7.59;17989;151;0;C++;85.71;23657
heartcombo/devise;14.49;774;19;0;Ruby;96.36;23650
zyedidia/micro;8.0;621;35;0;Go;63.51;23641
dimsemenov/PhotoSwipe;12.93;83;22;0;JavaScript;66.52;23634
sdras/awesome-actions;5.39;439;0;0;;63.41;23605
Igglybuff/awesome-piracy;5.42;182;0;0;HTML;99.68;23601
utmapp/UTM;4.91;214;109;0;Swift;74.7;23577
alibaba/flutter-go;5.17;158;4;0;Dart;0.0;23552
NativeScript/NativeScript;9.03;3147;147;0;TypeScript;87.18;23551
gitlabhq/gitlabhq;12.44;2227;0;0;Ruby;0.0;23547
mli/paper-reading;2.38;11;0;0;;0.0;23525
ramda/ramda;10.72;1300;28;0;JavaScript;91.81;23502
doczjs/docz;5.98;365;127;0;TypeScript;91.33;23496
DrKLO/Telegram;10.38;20;89;0;Java;0.0;23473
outline/outline;7.8;2054;126;0;TypeScript;96.77;23455
syl20bnr/spacemacs;11.23;1793;158;0;Emacs Lisp;97.32;23424
keon/algorithms;7.31;433;1;0;Python;63.29;23419
upscayl/upscayl;1.61;49;24;0;TypeScript;93.62;23401
goldbergyoni/javascript-testing-best-practices;4.68;146;0;0;JavaScript;23.44;23397
kahun/awesome-sysadmin;10.08;183;0;0;;28.57;23371
chubin/wttr.in;8.21;271;0;0;Python;55.13;23360
pure-css/pure;10.88;374;27;0;JavaScript;98.79;23345
iawia002/lux;6.04;281;84;0;Go;52.68;23343
locustio/locust;13.07;767;109;0;Python;99.17;23306
jumpserver/jumpserver;9.69;5935;216;0;Python;99.14;23240
VSCodium/vscodium;5.57;415;177;0;Shell;90.71;23236
AvaloniaUI/Avalonia;10.26;4495;75;0;C#;80.45;23223
svc-develop-team/so-vits-svc;1.0;153;0;0;Python;83.85;23217
android/architecture-components-samples;6.84;216;0;0;Kotlin;77.97;23212
reduxjs/react-redux;8.67;540;130;0;TypeScript;98.26;23188
homebridge/homebridge;9.27;306;35;0;TypeScript;99.45;23177
ueberdosis/tiptap;5.55;669;317;0;TypeScript;83.74;23168
celery/celery;14.88;2268;46;0;Python;87.68;23165
requarks/wiki;7.56;366;116;0;Vue;97.58;23157
react-navigation/react-navigation;7.12;1132;1000;0;TypeScript;92.66;23149
ogham/exa;9.81;229;12;0;Rust;72.81;23122
Textualize/textual;2.92;1551;91;0;Python;90.79;23115
restic/restic;9.87;1850;42;0;Go;83.11;23111
StreisandEffect/streisand;9.97;527;0;0;Shell;81.49;23102
github/copilot-docs;2.38;9;0;0;;0.0;23097
MostlyAdequate/mostly-adequate-guide;8.85;274;3;0;JavaScript;73.29;23087
makeplane/plane;1.3;2966;29;0;TypeScript;52.79;23081
rwf2/Rocket;7.98;16;56;0;Rust;96.55;23077
dapr/dapr;4.73;3273;233;0;Go;89.1;23074
apache/skywalking;8.34;4421;58;0;Java;98.87;23057
charmbracelet/bubbletea;4.16;390;31;0;Go;80.0;23032
vnpy/vnpy;9.03;1015;58;0;Python;99.56;23023
filebrowser/filebrowser;8.5;458;55;0;Go;96.67;23022
eriklindernoren/ML-From-Scratch;7.09;9;0;0;Python;53.62;22985
libuv/libuv;10.28;949;9;0;C;92.13;22980
grafana/k6;7.97;1573;58;0;Go;77.69;22970
apache/flink;9.76;8779;0;0;Java;0.0;22935
guzzle/guzzle;13.04;921;62;0;PHP;98.8;22931
zhayujie/chatgpt-on-wechat;1.59;156;48;0;Python;75.48;22924
CodeHubApp/CodeHub;10.63;13;4;0;C#;63.44;22905
highlightjs/highlight.js;13.19;1427;37;0;JavaScript;95.35;22880
refinedev/refine;3.13;3786;1000;0;TypeScript;98.05;22876
changkun/modern-cpp-tutorial;7.56;107;3;0;C++;94.07;22875
google/gson;8.98;637;6;0;Java;84.48;22862
flameshot-org/flameshot;6.83;813;25;0;C++;76.66;22850
datawhalechina/pumpkin-book;5.22;46;8;0;;77.14;22841
fyne-io/fyne;6.09;1572;43;0;Go;75.86;22818
ai/nanoid;6.6;179;2;0;JavaScript;96.98;22805
balderdashy/sails;11.98;546;42;0;JavaScript;92.09;22774
kdeldycke/awesome-falsehood;7.5;99;0;0;;92.86;22773
microsoft/JARVIS;0.95;23;0;0;Python;58.05;22766
academic/awesome-datascience;9.68;343;7;0;;100.0;22765
refined-github/refined-github;8.07;2882;131;0;TypeScript;96.39;22764
goldfire/howler.js;11.12;128;25;0;JavaScript;75.94;22755
KRTirtho/spotube;3.07;173;29;0;Dart;66.06;22752
element-plus/element-plus;3.64;5072;183;0;TypeScript;80.02;22725
tinygrad/tinygrad;3.39;2072;5;0;Python;81.02;22668
bilibili/flv.js;7.83;20;15;0;JavaScript;42.39;22668
